h,w,output,type,metric,n_h,n_w,n_output,n_type,count
162330921184500330,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,162330921184500330,0,Underweight,String,1
157359611884574147,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,157359611884574147,0,Underweight,String,1
150399788143773702,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,150399788143773702,0,Underweight,String,1
148837838058405761,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,148837838058405761,0,Underweight,String,1
145379703840655093,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,145379703840655093,0,Underweight,String,1
135753655727319234,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,135753655727319234,0,Underweight,String,1
110609776196100409,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,110609776196100409,0,Underweight,String,1
108577757343646279,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,108577757343646279,0,Underweight,String,1
107950588004338594,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,107950588004338594,0,Underweight,String,1
107531936685021221,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,107531936685021221,0,Underweight,String,1
103557117277234596,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,103557117277234596,0,Underweight,String,1
95241700248838405,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,95241700248838405,0,Underweight,String,1
93657112623070619,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,93657112623070619,0,Underweight,String,1
93491018715901881,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,93491018715901881,0,Underweight,String,1
87737120130914373,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,87737120130914373,0,Underweight,String,1
71448009730184598,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,71448009730184598,0,Underweight,String,1
67466712428010969,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,67466712428010969,0,Underweight,String,1
62296935480759293,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,62296935480759293,0,Underweight,String,1
60291046857999428,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,60291046857999428,0,Underweight,String,1
59404046890246958,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,59404046890246958,0,Underweight,String,1
58406569638641982,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,58406569638641982,0,Underweight,String,1
53273485960424438,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,53273485960424438,0,Underweight,String,1
52628762717620635,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,52628762717620635,0,Underweight,String,1
44086843682766428,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,44086843682766428,0,Underweight,String,1
42349928150993437,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,42349928150993437,0,Underweight,String,1
41049535284056968,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,41049535284056968,0,Underweight,String,1
38102524221882136,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,38102524221882136,0,Underweight,String,1
34660134561817744,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,34660134561817744,0,Underweight,String,1
34093989361849969,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,34093989361849969,0,Underweight,String,1
33424035081648234,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,33424035081648234,0,Underweight,String,1
27057671656970255,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,27057671656970255,0,Underweight,String,1
26645914030207382,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,26645914030207382,0,Underweight,String,1
24916474442476092,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,24916474442476092,0,Underweight,String,1
24280771407808783,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,24280771407808783,0,Underweight,String,1
21387323820499547,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,21387323820499547,0,Underweight,String,1
17409755358711811,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,17409755358711811,0,Underweight,String,1
17139776405969707,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,17139776405969707,0,Underweight,String,1
16975857157560227,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,16975857157560227,0,Underweight,String,1
16555882559531164,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,16555882559531164,0,Underweight,String,1
16126819029999171,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,16126819029999171,0,Underweight,String,1
15510223166559058,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,15510223166559058,0,Underweight,String,1
15050471480568645,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,15050471480568645,0,Underweight,String,1
14801506720146797,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,14801506720146797,0,Underweight,String,1
14518882143876273,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,14518882143876273,0,Underweight,String,1
13903891438451162,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,13903891438451162,0,Underweight,String,1
13653859318877078,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,13653859318877078,0,Underweight,String,1
13407750387928717,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,13407750387928717,0,Underweight,String,1
12101173072862842,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,12101173072862842,0,Underweight,String,1
11343414374624220,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,11343414374624220,0,Underweight,String,1
10860228387493270,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,10860228387493270,0,Underweight,String,1
10040381559589995,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,10040381559589995,0,Underweight,String,1
8575196094099169,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,8575196094099169,0,Underweight,String,1
8385664700888455,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,8385664700888455,0,Underweight,String,1
7119579436173551,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,7119579436173551,0,Underweight,String,1
7053372500958656,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,7053372500958656,0,Underweight,String,1
6682230194246241,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,6682230194246241,0,Underweight,String,1
6668217298715793,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,6668217298715793,0,Underweight,String,1
6577823070693591,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,6577823070693591,0,Underweight,String,1
