year,month,day,output,type,metric,n_year,n_month,n_day,n_output,n_type,count
1504658506345178,0,-236690,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,4.0,1504658506345178,1,-236690,"ArgumentError(""Day: -236690 out of range (1:31)"")",ArgumentError,1
1400621972715165,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,1400621972715165,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
1270825368526795,0,-5,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,1270825368526795,1,-5,"ArgumentError(""Day: -5 out of range (1:31)"")",ArgumentError,1
1038748890903799,0,5513,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,1038748890903799,1,5513,"ArgumentError(""Day: 5513 out of range (1:31)"")",ArgumentError,1
698414738067203,0,19,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,10.0,698414738067203,1,19,193360039511872-6028347736506389-29,Dates.Date,1
621587209852836,0,5476,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,621587209852836,1,5476,"ArgumentError(""Day: 5476 out of range (1:31)"")",ArgumentError,1
504172956250075,10,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,10.0,504172956250075,10,1,-881742305255-6028347736506386-11,Dates.Date,1
462969736698742,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,8.0,462969736698742,1,1,-42084961856589-6028347736506389-11,Dates.Date,1
428118234933694,0,-33086159897822,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,12.0,428118234933694,1,-33086159897822,"ArgumentError(""Day: -33086159897822 out of range (1:31)"")",ArgumentError,1
365242523471582,7,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,7.0,365242523471582,7,1,-139812175083748-6028347736506383-11,Dates.Date,1
335870176390871,0,29043065,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,5.0,335870176390871,1,29043065,"ArgumentError(""Day: 29043065 out of range (1:31)"")",ArgumentError,1
308556893998150,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,7.0,308556893998150,1,1,-196497804557181-6028347736506389-11,Dates.Date,1
306379964883207,0,71332043188868278,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,14.0,306379964883207,1,71332043188868278,"ArgumentError(""Day: 71332043188868278 out of range (1:31)"")",ArgumentError,1
