h,w,output,type,metric,n_h,n_w,n_output,n_type,count
14926468,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,14926468,0,Underweight,String,1
13525282,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,13525282,0,Underweight,String,1
12898570,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,12898570,0,Underweight,String,1
12045277,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,12045277,0,Underweight,String,1
11568879,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,11568879,0,Underweight,String,1
10866458,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,10866458,0,Underweight,String,1
10789456,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,10789456,0,Underweight,String,1
10211483,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,10211483,0,Underweight,String,1
8996859,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,8996859,0,Underweight,String,1
8781649,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,8781649,0,Underweight,String,1
8188739,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,8188739,0,Underweight,String,1
7949128,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,7949128,0,Underweight,String,1
7777787,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,7777787,0,Underweight,String,1
7606715,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,7606715,0,Underweight,String,1
7008587,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,7008587,0,Underweight,String,1
6421954,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,6421954,0,Underweight,String,1
6255563,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,6255563,0,Underweight,String,1
5676658,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,5676658,0,Underweight,String,1
5349379,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,5349379,0,Underweight,String,1
4581750,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,4581750,0,Underweight,String,1
4438454,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,4438454,0,Underweight,String,1
3820831,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3820831,0,Underweight,String,1
3526932,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3526932,0,Underweight,String,1
3434091,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3434091,0,Underweight,String,1
3427137,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3427137,0,Underweight,String,1
3281190,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3281190,0,Underweight,String,1
3086294,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3086294,0,Underweight,String,1
2964253,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2964253,0,Underweight,String,1
