year,month,day,output,type,metric,n_year,n_month,n_day,n_output,n_type,count
1,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,35.0,1,1,1,0001-01-01,Dates.Date,312
1,0,2,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,35.0,1,1,2,0001-01-02,Dates.Date,96
1,0,4,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,35.0,1,1,4,0001-01-04,Dates.Date,36
1,12,495961744,"ArgumentError(""Day: 495961744 out of range (1:31)"")",ArgumentError,5.0,1,13,495961744,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,12
1,2,-10000000000000000,"ArgumentError(""Day: -10000000000000000 out of range (1:28)"")",ArgumentError,1.0,1,2,-9999999999999999,"ArgumentError(""Day: -9999999999999999 out of range (1:28)"")",ArgumentError,12
1,5,-1,"ArgumentError(""Day: -1 out of range (1:31)"")",ArgumentError,1.0,1,5,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,24
1,99,-269,"ArgumentError(""Month: 99 out of range (1:12)"")",ArgumentError,1.0,1,100,-269,"ArgumentError(""Month: 100 out of range (1:12)"")",ArgumentError,12
1,9999,144,"ArgumentError(""Month: 9999 out of range (1:12)"")",ArgumentError,1.0,1,10000,144,"ArgumentError(""Month: 10000 out of range (1:12)"")",ArgumentError,12
1,999999999,0,"ArgumentError(""Month: 999999999 out of range (1:12)"")",ArgumentError,1.0,1,1000000000,0,"ArgumentError(""Month: 1000000000 out of range (1:12)"")",ArgumentError,12
10,-1,-657,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,10,0,-657,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,12
100616,0,32,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,100616,1,32,"ArgumentError(""Day: 32 out of range (1:31)"")",ArgumentError,12
1008,999999999,-1274,"ArgumentError(""Month: 999999999 out of range (1:12)"")",ArgumentError,1.0,1008,1000000000,-1274,"ArgumentError(""Month: 1000000000 out of range (1:12)"")",ArgumentError,12
101572,0,246656,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,3.0,101572,1,246656,"ArgumentError(""Day: 246656 out of range (1:31)"")",ArgumentError,12
102356,0,15520,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,102356,1,15520,"ArgumentError(""Day: 15520 out of range (1:31)"")",ArgumentError,12
102837048,7,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,28.0,102837048,7,1,102837048-07-01,Dates.Date,12
1071,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,1071,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,12
109,0,-259,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,109,1,-259,"ArgumentError(""Day: -259 out of range (1:31)"")",ArgumentError,12
109857200,0,1865,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,109857200,1,1865,"ArgumentError(""Day: 1865 out of range (1:31)"")",ArgumentError,12
11,0,-221,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,11,1,-221,"ArgumentError(""Day: -221 out of range (1:31)"")",ArgumentError,12
11,0,-28264091941938,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,12.0,11,1,-28264091941938,"ArgumentError(""Day: -28264091941938 out of range (1:31)"")",ArgumentError,12
